,HaulLat,HaulLong,Year,Distance,BottomDepth,Plastic_Weight
1,54.0872,11.048,2016,3118,23,0.106
2,54.1002,11.0847,2013,2945,23,0.022
3,54.101,11.0867,2012,2889,23,0.024
4,54.1133,11.1508,2015,2823,23,0
5,54.1289,11.1835,2017,2781,23,0.244
6,54.1323,11.1912,2015,3030,24,0
7,54.1655,11.3243,2014,2765,24,0
8,54.1877,11.8703,2015,2896,18,0
9,54.1882,11.8615,2015,2690,17,0
10,54.1918,14.3123,2015,3082,15,0.001
11,54.1999,11.844,2017,3011,19,0
12,54.2003,11.8443,2014,2894,19,0
13,54.2024,14.2988,2017,2907,15,0
14,54.2074,14.293,2017,2775,14,0.04
15,54.2095,14.2907,2014,2793,14,0
16,54.2098,14.2942,2013,2699,15,0
17,54.21,14.2898,2016,2788,14,0
18,54.2125,14.2878,2014,2762,14,0
19,54.2135,14.2855,2015,2810,14,0.034
20,54.2137,14.2857,2013,2975,14,0.508
21,54.2144,14.291,2016,3033,14,0
22,54.2155,11.5465,2013,2813,25,0
23,54.2184,11.3348,2017,2989,22,0.016
24,54.2188,11.3355,2016,2887,21,0.054
25,54.231,11.6062,2015,3058,27,0.004
26,54.2402,11.4222,2014,2753,22,0
27,54.244,11.3415,2012,2853,22,0
28,54.2452,11.7535,2015,2837,26,0
29,54.2496,11.4528,2017,2769,22,0
30,54.2543,11.3263,2013,2919,19,0
31,54.2622,11.4155,2013,2984,23,0
32,54.274,11.8473,2015,2776,22,0
33,54.2746,11.416,2016,2774,23,0
34,54.2799,11.6513,2017,2717,25,0
35,54.2819,11.4145,2017,2773,21,0
36,54.2917,11.3078,2014,2717,21,0
37,54.292,11.5685,2017,2759,24,0
38,54.2978,11.6982,2017,2765,25,0
39,54.2997,11.6972,2013,2920,25,0
40,54.3039,11.9263,2017,2939,19,0
41,54.3058,11.4515,2014,3040,23,0
42,54.3073,11.9437,2012,2725,19,1.39
43,54.3087,11.328,2017,2753,21,0
44,54.3108,11.9268,2013,3132,18,0
45,54.3108,11.9283,2014,2722,19,0
46,54.3118,11.9287,2015,2786,19,0
47,54.3294,11.934,2016,2784,19,0
48,54.33,11.3778,2014,2758,22,0
49,54.335,15.0833,2017,3176,19,0.0806
50,54.3367,15.0883,2015,2186,19,0
51,54.355,15.1117,2016,2677,19,0.066
52,54.3753,11.7703,2015,2853,24,0
53,54.3753,14.1868,2015,3068,11,0.003
54,54.3755,11.7698,2012,2857,24,0
55,54.3757,11.7638,2017,2772,24,0.002
56,54.3757,11.7667,2013,3093,25,0
57,54.376,11.764,2014,2754,24,0
58,54.3798,11.7227,2016,2721,24,0
59,54.38,15.7267,2016,2930,30,1.00E-04
60,54.3817,15.7333,2016,2947,32,0
61,54.3817,15.7583,2017,2730,30,0.0042
62,54.3833,15.62,2015,2813,29,0
63,54.3833,15.62,2017,2736,30,0
64,54.3833,15.6317,2017,2924,30,0.009
65,54.3833,15.6333,2016,2599,30,0.02
66,54.3833,15.77,2017,2924,31,0.0081
67,54.385,15.5733,2016,2930,31,0.015
68,54.385,15.7617,2015,2844,31,0
69,54.385,19.2583,2016,2837,24,0.002
70,54.3862,14.3187,2017,2763,10,0
71,54.3867,19.2717,2017,3194,24,0
72,54.3917,19.3067,2015,3281,23,0
73,54.3922,11.5113,2017,2773,25,0
74,54.3925,14.1615,2013,2719,12,0
75,54.3927,14.1548,2016,2824,11,0
76,54.3935,11.507,2016,2793,24,0.004
77,54.3967,11.4353,2013,2690,23,0
78,54.4,19.2733,2016,2946,34,0
79,54.4017,19.0033,2017,3077,29,0.0012
80,54.4033,19.055,2016,2907,32,0.526
81,54.4033,19.0983,2017,3026,34,0.0226
82,54.4035,12.2177,2013,2801,17,0
83,54.4039,12.2192,2017,2782,17,0.048
84,54.404,12.2173,2014,2726,17,0
85,54.4041,12.2162,2017,2903,18,0
86,54.4047,12.219,2014,2769,17,0.401
87,54.405,16.0333,2015,2605,22,0
88,54.405,19,2015,989,27,0
89,54.4058,12.2193,2013,3035,17,0
90,54.4083,16.0317,2017,2026,26,0
91,54.4083,19.0517,2017,2824,33,0.0402
92,54.41,19.2883,2016,1531,41,0
93,54.4117,19.2817,2017,3165,42,0.1046
94,54.4118,12.3153,2016,2760,19,0
95,54.4133,11.432,2012,2805,23,0.006
96,54.415,19.3167,2016,2623,43,2.406
97,54.4152,12.2293,2012,3566,17,0
98,54.4175,14.0968,2014,2748,15,0.864
99,54.4183,15.7083,2016,2619,43,0.001
100,54.4183,19.0667,2015,2921,41,0.0687
101,54.4188,12.3252,2013,2809,21,0
102,54.42,19.0783,2017,3031,43,0.0634
103,54.42,19.0867,2016,2921,43,0.047
104,54.4227,10.733,2017,2738,19,7.95
105,54.4232,10.7308,2015,2811,18,0.244
106,54.4247,10.7278,2015,2896,19,0
107,54.4288,10.6975,2012,2622,18,0
108,54.43,16.01,2016,3063,28,0.003
109,54.4303,14.0747,2014,2692,14,0
110,54.4303,14.0787,2016,2386,13,0
111,54.4333,15.1533,2017,3245,31,0.356
112,54.4333,15.165,2015,2603,31,0.1864
113,54.4333,16.0167,2017,2726,27,1.00E-04
114,54.4333,16.0267,2017,2871,28,0.0063
115,54.4343,14.1873,2015,2693,14,0
116,54.4348,14.2547,2013,2752,12,0
117,54.435,16.0467,2017,3029,28,0
118,54.4363,12.3422,2015,2892,20,0.016
119,54.4367,15.18,2016,1352,31,3
120,54.4367,15.2017,2016,2713,31,0.03
121,54.4367,15.2117,2017,2520,31,0.0492
122,54.4367,16.045,2016,2595,27,0.1
123,54.4367,19.135,2017,3036,51,0.085
124,54.4375,12.3432,2016,2712,20,0
125,54.4378,12.345,2017,2942,16,0
126,54.438,12.3428,2013,2868,17,0
127,54.4397,10.6733,2017,2749,18,0
128,54.4399,12.3445,2017,2752,19,0
129,54.44,19.1267,2017,2492,53,0.0712
130,54.44,19.13,2016,2810,53,0.001
131,54.4402,12.3455,2015,2802,19,0
132,54.4408,10.6665,2013,3062,18,0.001
133,54.4408,12.3458,2014,2710,19,0
134,54.4417,15.7183,2015,2886,42,0
135,54.4438,12.3488,2012,3592,19,0.006
136,54.445,14.9267,2017,2926,22,6.00E-04
137,54.4458,10.6478,2013,2688,19,0
138,54.4458,11.4157,2017,2880,22,0
139,54.446,11.421,2015,3107,20,0
140,54.446,11.429,2016,3303,24,0
141,54.4463,11.4163,2013,2991,21,0.035
142,54.4467,14.935,2017,1458,22,0
143,54.4468,10.646,2014,2720,19,0.068
144,54.4468,14.9458,2013,2701,22,0
145,54.4468,14.9518,2014,3092,21,0
146,54.447,14.9413,2015,2998,23,0
147,54.4475,11.4072,2014,2723,20,0
148,54.4476,10.6455,2016,2979,20,0.006
149,54.4477,10.6438,2015,2720,19,0.126
150,54.4477,10.6465,2016,3242,19,0.094
151,54.448,10.6412,2014,3016,19,0
152,54.4483,15.005,2016,2621,24,0.01
153,54.4485,14.935,2012,2732,23,0
154,54.449,10.6368,2015,3050,19,0.002
155,54.451,11.3763,2016,3125,22,0.013
156,54.4512,10.6247,2012,2563,18,0
157,54.4514,10.6303,2016,2866,19,0.014
158,54.4528,10.6252,2015,2954,19,0.01
159,54.4531,10.6222,2016,2836,19,0.05
160,54.4538,10.6203,2014,2799,19,0.248
161,54.4547,10.6142,2015,2939,19,0
162,54.455,15.5383,2016,2729,50,3.00E-04
163,54.4553,14.229,2017,3256,14,0
164,54.4566,10.6022,2017,3065,20,0.015
165,54.4567,15.5317,2017,1946,50,0.048
166,54.4567,15.545,2016,2490,51,1.025
167,54.4567,15.6617,2017,2601,50,0.4243
168,54.4573,14.7457,2014,2787,16,0
169,54.4583,19.345,2016,2591,64,0.743
170,54.46,15.7433,2016,2653,50,0.002
171,54.462,14.747,2013,2762,16,0
172,54.4638,11.4245,2013,2248,26,0
173,54.465,15.7283,2017,2924,49,0.2878
174,54.4729,10.7112,2016,2950,20,0
175,54.4808,14.7483,2015,2845,17,0
176,54.4822,14.7483,2012,2854,18,0
177,54.4835,14.739,2014,2862,17,0
178,54.488,14.373,2016,2747,13,0
179,54.4883,14.7617,2017,2650,18,0
180,54.4897,10.6988,2014,2725,20,0
181,54.49,14.76,2017,2614,19,0
182,54.4902,10.6987,2014,2801,20,0.024
183,54.4912,10.6983,2013,2700,20,0
184,54.495,19.2517,2015,2910,71,0
185,54.497,13.986,2017,2757,17,0
186,54.4972,13.7798,2014,2757,18,0
187,54.4973,13.7473,2013,2802,18,0.086
188,54.4973,13.7515,2013,2757,17,2.114
189,54.4973,13.7908,2015,2951,19,6.036
190,54.4974,13.7463,2016,2850,18,0
191,54.4974,13.7877,2017,2884,18,0
192,54.4975,13.779,2015,2829,19,0
193,54.4977,13.7445,2014,2809,18,0.1
194,54.4983,13.7862,2012,2874,18,0.18
195,54.4985,13.7863,2016,3087,18,0
196,54.4997,13.9785,2014,2809,17,1.679
197,54.5,14.7633,2016,2834,19,0
198,54.5005,13.9762,2012,2928,19,0
199,54.5028,14.3807,2014,2711,14,0
200,54.5032,14.3797,2015,2759,14,0
201,54.5032,14.38,2014,2794,14,0.004
202,54.5033,14.3802,2013,2806,13,0
203,54.5036,14.3778,2017,2897,14,0
204,54.505,19.2867,2016,1309,72,0
205,54.5067,19.3267,2015,2803,70,8.00E-04
206,54.5081,13.9615,2016,2682,18,0
207,54.5083,18.9483,2017,3018,65,0.0016
208,54.5083,19.3267,2016,2693,73,0.031
209,54.509,14.3567,2015,2845,15,0.046
210,54.5092,14.3547,2013,2680,13,0
211,54.51,19.295,2017,3058,72,0.0014
212,54.5117,13.968,2016,2912,18,0.474
213,54.5123,13.9603,2013,2809,17,0
214,54.52,18.955,2017,2828,65,1.2468
215,54.5233,19.3933,2017,2955,71,0.0408
216,54.5293,14.2745,2015,2575,20,0.575
217,54.5298,14.2772,2014,2770,19,0
218,54.5312,14.2392,2017,2865,19,0.001
219,54.5312,14.2955,2014,2746,19,0
220,54.5332,14.9412,2014,2785,39,0
221,54.5333,14.921,2016,2892,37,0
222,54.5333,15.7483,2017,2705,56,0.136
223,54.5362,14.2332,2016,2819,19,0
224,54.5367,15.4883,2017,2607,58,0.0248
225,54.5372,14.4008,2013,2764,13,0
226,54.5377,14.2307,2015,2830,20,0.005
227,54.5386,14.2122,2016,3099,19,0
228,54.5388,13.9613,2015,3107,19,0
229,54.5389,10.147,2017,2932,21,0.454
230,54.54,15.4933,2016,2717,58,0
231,54.5417,14.8617,2017,2919,39,0.0954
232,54.5417,15.685,2017,2614,58,0.0092
233,54.5417,15.9983,2016,2785,47,0.07
234,54.5417,18.945,2016,2756,67,0.015
235,54.5419,11.3992,2013,2435,27,0
236,54.5423,13.8013,2014,2761,21,0.14
237,54.5433,15.475,2015,3118,58,0.0429
238,54.5435,13.8002,2015,2639,22,0.441
239,54.5436,11.3915,2016,2827,28,0
240,54.5475,11.3764,2014,2326,27,0
241,54.5483,15.4667,2017,1954,58,0
242,54.5493,10.7513,2016,2798,23,0
243,54.5493,11.3649,2014,NA,27,0
244,54.5493,13.8015,2013,2784,21,0
245,54.551,11.4072,2012,2476,26,0
246,54.5513,10.7583,2012,2635,21,0
247,54.5526,10.1768,2015,2485,18,0
248,54.5543,10.1755,2015,2721,20,0
249,54.5544,10.1755,2017,2751,19,0.001
250,54.555,15.4433,2016,2893,58,0.007
251,54.555,15.96,2017,2739,49,0.0074
252,54.5567,10.1802,2016,2815,20,0.105
253,54.5593,13.8005,2015,2827,21,0
254,54.5593,13.8013,2014,2708,21,0
255,54.5598,11.3582,2017,2864,29,0
256,54.56,14.9867,2016,2748,43,0.1465
257,54.56,15.965,2017,3169,50,0.2448
258,54.5633,14.7383,2017,2956,35,0
259,54.5633,14.9883,2017,2697,44,0
260,54.5633,15.8067,2017,2403,56,0.5314
261,54.5647,14.725,2015,2979,35,0
262,54.565,15.8133,2015,2614,56,0.0057
263,54.5663,12.4057,2016,2864,18,0.004
264,54.5667,15.645,2017,2855,59,0.2296
265,54.5675,14.5178,2015,3227,25,0
266,54.5675,14.7187,2013,2835,33,0.06
267,54.5705,14.4523,2015,2802,25,0
268,54.5705,14.4528,2013,2739,26,0
269,54.5705,14.4528,2014,2773,24,0
270,54.573,14.498,2016,2768,25,0
271,54.5733,14.4952,2017,2807,19,0
272,54.5743,14.0808,2015,2880,19,0
273,54.5757,14.6877,2014,2770,34,0
274,54.5767,19.3667,2016,2910,80,0.1928
275,54.5768,14.6832,2012,2939,35,0
276,54.5785,14.4878,2017,2881,26,0.03
277,54.579,14.6748,2015,2821,35,0
278,54.5794,14.6845,2016,3136,34,0
279,54.5795,12.4318,2013,2854,16,0
280,54.5841,14.6853,2017,2835,37,0
281,54.586,12.4482,2017,2989,18,0
282,54.5862,13.7405,2017,2782,25,0.239
283,54.5868,12.447,2014,2776,17,0
284,54.5882,12.6018,2017,2812,13,0
